Vollcode,aggregatie,Naam,code
"F87d","Buurt 2015","Delflandpleinbuurt West","87d"
"N64c","Buurt 2015","Nieuwendammerdijk West","64c"
"N69c","Buurt 2015","Loenermark","69c"
"T92d","Buurt 2015","Amstel III deel A/B Zuid","92d"
"T97c","Buurt 2015","Gein Noordoost","97c"
"A05c","Buurt 2015","Haarlemmerbuurt West","05c"
"M55g","Buurt 2015","De Wetbuurt","55g"
"T92e","Buurt 2015","Amstel III deel C/D Zuid","92e"
"M35b","Buurt 2015","Steigereiland Zuid","35b"
"F76b","Buurt 2015","Buurt 2","76b"
"F11a","Buurt 2015","Sloterdijk II","11a"
"F78d","Buurt 2015","Buurt 9","78d"
"F88i","Buurt 2015","Nieuw Sloten Zuidoost","88i"
"F88e","Buurt 2015","Nieuw Sloten Noordwest","88e"
"A06f","Buurt 2015","Marnixbuurt Midden","06f"
"M50a","Buurt 2015","Strandeiland","50a"
"N73e","Buurt 2015","Zwarte Gouw","73e"
"M34f","Buurt 2015","RI Oost terrein","34f"
"F89b","Buurt 2015","Jacques Veldmanbuurt","89b"
"T93a","Buurt 2015","Venserpolder West","93a"
"F11f","Buurt 2015","Teleport","11f"
"K49a","Buurt 2015","Diepenbrockbuurt","49a"
"E40b","Buurt 2015","Trompbuurt","40b"
"K24e","Buurt 2015","Sarphatiparkbuurt","24e"
"A06k","Buurt 2015","Anjeliersbuurt Noord","06k"
"M50d","Buurt 2015","Middeneiland Zuidwest","50d"
"F11c","Buurt 2015","Sloterdijk III Oost","11c"
"A08e","Buurt 2015","Alexanderplein e.o.","08e"
"K54a","Buurt 2015","Kromme Mijdrechtbuurt","54a"
"M28a","Buurt 2015","Oosterparkbuurt Noordwest","28a"
"E12a","Buurt 2015","Houthavens West","12a"
"T98b","Buurt 2015","Landelijk gebied Driemond","98b"
"N66e","Buurt 2015","Noorder IJplas","66e"
"F89d","Buurt 2015","Medisch Centrum Slotervaart","89d"
"M31c","Buurt 2015","Zuidwestkwadrant Indische buurt","31c"
"M33c","Buurt 2015","Java-eiland","33c"
"E13a","Buurt 2015","Zeeheldenbuurt","13a"
"T92b","Buurt 2015","Amstel III deel A/B Noord","92b"
"M55e","Buurt 2015","Frankendael","55e"
"M55f","Buurt 2015","Tuindorp Amstelstation","55f"
"M33f","Buurt 2015","Borneo","33f"
"F87b","Buurt 2015","Andreasterrein","87b"
"A09h","Buurt 2015","Kazernebuurt","09h"
"E39c","Buurt 2015","Kolenkitbuurt Zuid","39c"
"A09d","Buurt 2015","Oostenburg","09d"
"E13b","Buurt 2015","Spaarndammerbuurt Noordoost","13b"
"M33i","Buurt 2015","Bedrijvengebied Veelaan","33i"
"M56c","Buurt 2015","Middenmeer Zuid","56c"
"K52h","Buurt 2015","Kop Zuidas","52h"
"F80b","Buurt 2015","Osdorper Bovenpolder","80b"
"K47e","Buurt 2015","Banpleinbuurt","47e"
"T93k","Buurt 2015","Bijlmerpark West","93k"
"F81c","Buurt 2015","Osdorpplein e.o.","81c"
"N69m","Buurt 2015","Buikslotermeer Noord","69m"
"T95a","Buurt 2015","L-buurt","95a"
"A09e","Buurt 2015","Czaar Peterbuurt","09e"
"N68b","Buurt 2015","Werengouw Noord","68b"
